sample_ID,Colour,color_code,sample_no,B_L,B_a,B_b,B_G,ΔL,Δa,Δb,ΔG,DeltaE,gray_scale,crack,inkT,judge
Q1,Grey,PBK,0,66.93,-0.48,-0.84,90.12,1.17,0.13,-0.4,-79.46,1.24,4,0,,1
Q1,Grey,PBK,0,68.21,-0.49,-0.78,93.88,1.63,0.16,0.02,-82.14,1.64,4,0,,1
Q1,Blue,YSF,0,30.64,-6.07,-44.81,89.11,9.56,-2.14,11.18,-81.16,14.86,4,0,,1
Q1,Blue,YSF,0,31.01,-6.05,-44.86,88.59,9.47,-0.8,13.67,-81.73,16.66,4,0,,1
Q1,Black,YVU,0,3.41,-0.16,-1.08,87.56,22.96,-0.26,-1.74,-80.32,23.05,4,0,,1
Q1,Black,YVU,0,2.76,-0.04,-0.53,78.2,25.31,-0.04,0.92,-61.11,25.33,4,0,,1
Q1,white,30H,0,93.97,-0.69,0.95,14.22,-0.37,0.22,0.08,-4.68,0.45,4.5,0,,1
Q1,white,30H,0,92.3,-2.29,3.91,88.63,1.27,-0.07,1.01,-77.29,1.62,4.5,0,,1
Q2,Grey,PGZ,0,46.09,-0.08,-0.53,11.35,3.52,0.16,0.02,10.4,3.56,4,1,,0
Q2,Grey,PGZ,0,46.54,-0.1,-0.59,11.92,4.53,0.92,0.16,6.69,4.73,4,1,,0
Q2,Red,YUL,0,18.66,22.99,4.74,32.94,11.14,-8.38,-3.73,-26.78,14.42,3.5,1,,0
Q2,Red,YUL,0,18.33,20.95,4.18,32.02,13.97,-7.02,-2.89,-24.56,15.91,3.5,1,,0
Q2,Blue,YKY,0,22.12,14.39,-48.2,86.48,10.24,-13.11,24.02,-80.24,29.22,3,0,,1
Q2,Blue,YKY,0,20.17,16.04,-48.85,84.55,10.61,-13.66,23.56,-82.65,29.31,3,0,,1
Q3,D grey,20H,0,51.75,-0.66,-0.19,89.89,4.3,1.35,1.89,-83.47,4.89,3.5,0,,1
Q3,D grey,20H,0,52.15,-0.58,-0.04,85.14,4.24,1.31,1.64,-79.2,4.74,3.5,0,,1
Q3,Grey M,ZRP,0,64.05,-0.39,-0.36,44.41,8.08,0.51,1.91,-38.78,8.31,,0,,1
Q3,Grey M,ZRP,0,65.18,-0.37,-0.28,40.56,8.02,0.57,1.92,-34.4,8.27,,0,,1
Q4,ECSTAR BLUE,QPN,1,12.21,3.88,-25.15,88.51,3.37,-1.98,4.05,-62.28,5.64,3,0,0.015,0
Q4,ECSTAR BLUE,QPN,2,13.38,3.57,-27.15,88.72,3.07,-1.66,2.92,-52.29,4.56,3.5,0,0.02,0
